Nom	XP
Clef du Donjon des Scarafeuilles	3,433
Queue du Fu Mansot	3,447
Huile de Noix	3,449
Rune Pa Fui	3,6
Rune Pa Tac	3,6
Rune Pata Fui	3,6
Rune Pata Tac	3,6
Rune Rata Fui	3,6
Rune Rata Tac	3,6
Rune Ta Fui	3,6
Rune Ta Tac	3,6
Étamine de Floribonde	3,601
Peau de Pataugerme	3,616
Clef du Clos des Blops	3,628
Amygdales du Bitouf Sombre	3,653
Œil de Rat du Gang	3,655
Poudre Mature	3,665
Graine de l'Abrakleur sombre	3,706
Bracelet de Ino-Naru	3,722
Étoffe de Kurookin	3,722
Lame brisée de Lichangoro	3,722
Peau de Crachefoux	3,722
Peau de Rouquette	3,722
Poils de Boumbardier	3,722
Poils de Founamboul	3,722
Poils de Pétartifoux	3,722
Ruban d'Uchiwang	3,722
Tête de lance de Fangshu	3,722
Clef de l'Akadémie des Gobs	3,724
Griffe de Dragoeuf Albâtre	3,729
Poudre explosive	3,732
Œil de Kanigrou	3,74
Magnésite	3,75
Planche de Surf	3,75
Crâne de Chef Crocodaille	3,779
Viande Macérée	3,794
Clef du Donjon des Squelettes	3,89
Substrat de Bocage	3,9
Laine de Bouftou Royal	3,977
Andésite	4
Greuvette Horreur	4
Aile de dragodinde dorée	4,03
Queue de Rat du Gang	4,045
Morceau de clef du Matin Pewlant	4,1
Morceau de clef du Midi Wayonnant	4,1
Morceau de clef du Soiw Woulant	4,1
Pierre de Dopeul	4,113
Œuf de Dragoeuf Ardoise	4,127
Œuf de Dragoeuf Argile	4,127
Œuf de Dragoeuf Charbon	4,127
Coquille de Fantimonier	4,187
Écaille de Harpirate	4,187
Mât de Fantômat	4,187
Pince du Fancrôme	4,187
Queue de Fantomalamère	4,187
Barbe du Wa Wobot	4,207
Carapace du Mantiscore	4,207
Clef du Donjon des Bworks	4,312
Boomerang du Dok Alako	4,318
Racine d'Abraknyde Ancestral	4,343
Cuir de Gliglibido	4,363
Défense de Gliglicérin	4,363
Étoffe de Gliglidoudur	4,363
Huile de Koode	4,38
Poil de Gliglitch	4,545
Pierre d'Agathe	4,58
Pierre de Sélénite	4,6
Clef du Donjon des Forgerons	4,635
Bidoche Minérale	4,654
Clef de la Grotte Hesque	4,706
Étoffe de Vigie Pirate	4,786
Bolas de Maltrio	4,792
Corne de Malbois	4,792
Corne de Père Phorreur	4,792
Griffe de Phorrêveur	4,792
Œil de Phozami	4,792
Peau de Métaphorreur	4,792
Pic de Malépik	4,792
Porte-bonheur de Malalfa	4,792
Pousse de Malzerb	4,792
Queue de Mère Veilleuse	4,792
Clef du Nid du Kwakwa	4,815
Fragment du Gorgouille	4,861
Viande de Brousse	4,912
Rembourrage de Meupette	4,935
Orge en Sucre	5
Rune Cri	5
Rune So	5
Sauge Divine au Rhum	5
Sève de Châtaignier	5
Truite Ancestrale	5
Boulon Wabbit	5,074
Ivoire	5,091
Bakélélite	5,1
Écorce de Liroye Merline	5,112
Œuf de Dragoeuf Calcaire	5,14
Sable Fin	5,14
Cloaque du Poolay	5,227
Écorce d'Abraknyde Vénérable	5,227
Résidu de Solfataré	5,227
Teinture Magique Verdâtre	5,247
Breuvage Musculaire	5,36
Croupion du Bitouf aérien	5,365
Substrat de Futaie	5,4
Groin de Dragon Cochon	5,469
Peau de Moon	5,469
Scalp du Meulou	5,469
Tresse du Koulosse	5,469
Chaîne de Panthègros	5,504
Griffe de Félygiène	5,504
Émeraude	5,511
Barbe du Chouque	5,513
Faux Visage de Choudini	5,513
Soie Baveuse	5,513
Arakne Écrabouillée	5,54
Œil de Crabe Hijacob	5,54
Jus de poisson	5,55
Crinière d'Orfélin	5,574
Oreille de Kaniblou	5,574
Rune Pa Do Air	5,625
Rune Pa Do Cri	5,625
Rune Pa Do Eau	5,625
Rune Pa Do Feu	5,625
Rune Pa Do Neutre	5,625
Rune Pa Do Pi	5,625
Rune Pa Do Pou	5,625
Rune Pa Do Ren	5,625
Rune Pa Do Terre	5,625
Rune Pata Do Air	5,625
Rune Pata Do Cri	5,625
Rune Pata Do Eau	5,625
Rune Pata Do Feu	5,625
Rune Pata Do Neutre	5,625
Rune Pata Do Terre	5,625
Rune Rata Do Air	5,625
Rune Rata Do Eau	5,625
Rune Rata Do Feu	5,625
Rune Rata Do Neutre	5,625
Rune Rata Do Terre	5,625
Rune Ta Do Air	5,625
Rune Ta Do Cri	5,625
Rune Ta Do Eau	5,625
Rune Ta Do Feu	5,625
Rune Ta Do Neutre	5,625
Rune Ta Do Terre	5,625
Cheveux d'Alhyène	5,645
Tignasse de Kanihilan	5,645
Bec de Gélikan	5,679
Moustache de Boostache	5,694
Viscères du Scarabosse Doré	5,694
Peinture Bleue	5,709
Peinture Jaune	5,709
Peinture noire	5,709
Peinture Orange	5,709
Peinture Rouge	5,709
Peinture Verte	5,709
Peinture Violette	5,709
Copie de la clef du repaire des bandits	5,742
Deuxième clef du Donjon de Sphincter	5,75
Première clef du Donjon de Sphincter	5,75
Clef du Refuge sylvestre	5,763
Bave du Kaskargo	5,766
Rubis	5,766
Sternum de Chachachovage	5,826
Patte de la Gardienne des Égouts	5,839
Potion de Vieillesse	5,85
Souche de l'Abrakleur clair	5,913
Collier de Chakichan	5,932
Croissant de Tsukinochi	5,932
Dent de Chakaroze	5,932
Épaulière de Kabushido	5,932
Fleur d'Onabu-Geisha	5,932
Oreille de Chargus	5,932
Os de Jiangshi-Nobi	5,932
Plastron de Tambouraï	5,932
Poil de Chacrebleu	5,932
Queue de Chasquatch	5,932
Patte de Rat Bougri	5,98
Crabe Sourimi Exotique	6
Planche à Repasser	6
Relique du Rasboul Majeur	6
Rune Ra Sa	6,075
Viande fraîche	6,085
Avoine Magique	6,13
Cuir Violet de Mégabwork	6,13
Osier Enchanté	6,13
Peau de Roukouto	6,13
Peau de Tivelo	6,13
Scalp de Bizarbwork	6,13
Tissu de Graboule	6,13
Tranche Magique de Krambwork	6,13
Glande d'Arak-haï	6,169
Farine Humée	6,184
Toile d'Abrakne Sombre	6,208
Sueur de dragodinde	6,212
Écaille de Grozilla	6,25
Teinture Magique Ténébreuse	6,353
Pierre d'Atomystique	6,389
Pierre de Fumrirolle	6,389
Clef de la Fonderie des Waddicts	6,522
Deuxième partie de la clef du labyrinthe du Dragon Cochon	6,53
Kole	6,546
Kouartz	6,6
Nœud de Marin	6,677
Bourgeon explosif de Damadrya	6,702
Viscères de Tanuki	6,719
Poils de barbe de dragodinde	6,74
Pierre de Mofette	6,765
Incisive de Kami Givrefoux	6,868
Laine de Maho Givrefoux	6,868
Laine de Yokaï Givrefoux	6,868
Malléole de Yomi Givrefoux	6,868
Oreille de Soryo Givrefoux	6,868
Teinture Magique de Rougeur	6,898
Avoine Aurifère	7
Pierre d'Aigue-Marine	7
Poisson-Tigre	7
Sève de Noyer	7
Trèfle Agare	7
Potion des Ancêtres	7,05
Cœur de Crapeur	7,188
Duvet du Maître Corbac	7,256
Broderie de Malléfisk	7,292
Chaussette trouée de Dramak	7,292
Dent du Kharnozor	7,292
Écaille de Grasmera	7,292
Rouflaquettes d'Halouine	7,292
Crinière de Rat Blanc	7,326
Métaria Triame jaune	7,411
Métaria Triame rouge	7,411
Oreille de Bouledogre	7,426
Étoffe du Mulou	7,497
Rune Pata Cri	7,5
Rune Ta Cri	7,5
Métaria Triame bleue	7,507
Métaria Triame verte	7,507
Clef du Village Kanniboul	7,586
Jus de Ouassingue	7,622
Coiffe déchiquetée de Drakoalak	7,627
Élastique de Gobvious	7,627
Substrat de Fascine	7,65
Plume du Rasboul Majeur	7,721
Dent de Cycloporth	7,737
Kaokurimono	7,737
Kapokaza	7,737
Lanterne usée	7,737
Masque brisé	7,737
Œil de Madura	7,737
Patte de Masticroc	7,737
Peau de Trémorse	7,737
Pic de Pikténia	7,737
Touffe de cheveux de Soissanth	7,737
Clef de l'Arche d'Otomaï	7,761
Saphir	7,83
Échasse de Molette	7,833
Dents de Mulou	7,867
Houpette de Vilain Petit Tofu	8,019
Nacre	8,037
Coquille de Dragoss Ardoise	8,043
Coquille de Dragoss Argile	8,043
Coquille de Dragoss Charbon	8,043
Corne de Dragoss Calcaire	8,043
Corne de Dragoss Protéiforme	8,043
Corne de Rhinoféroce	8,043
Mojo de Mergranlou	8,043
Scalp de Mulounoké	8,043
Testicules de Cocholou	8,043
Testicules Magiques de Muloubard	8,043
Cuir de Capsaaloocke	8,056
Clef du Terrier du Wa Wabbit	8,117
Bidoche Faisandée	8,123
Langue de Morsquale	8,167
Feuille de Blop Multicolore Royal	8,187
Peau de Crocabulia	8,187
Poils du Minotoror	8,187
Paquet Cadeau du Minotoboule de Nowel	8,189
Viande Maigre	8,19
Fleur de Korriandre	8,225
Poil de Bworkette	8,315
Poison cinglant	8,362
Cristal	8,543
Écorce d'Abrazif	8,647
Lamelle de Dramanite	8,647
Lamelle de Mérulette	8,647
Volve de Fistulor	8,647
Volve de Fongeur	8,647
Écorce de Champaknyde	8,747
Planche de Toilette	8,775
Corne de Scaratos	8,809
Croupion de Tofuzmo	8,809
Boule polie	8,819
Braise de Tofutoflamme	8,856
Corne de Déminoboule	8,856
Corne de Mominotor	8,856
Poil de Rat Bontarien	8,962
Poisson Igloo	9
Cœur de Buveur	9,011
Plume Pointue de Renarbo	9,011
Œuf de Tofubine	9,03
Crinière fleurie	9,052
Furoncle de la Mama Bwork	9,052
Kriptonite	9,15
Bandeau troué d'Air	9,154
Bandeau troué de Feu	9,154
Bandeau troué de Terre	9,154
Bandeau troué d'Eau	9,154
Corbac Mort	9,217
Bave de Champ à Gnons	9,258
Lamelle de Champbis	9,258
Langue de Champodonte	9,258
Œil de Champmane	9,258
Trompe de la Tromperelle	9,258
Glande du Pounicheur	9,265
Barbe de Seith	9,284
Dent de Trezz	9,284
Pagne de Trantroa	9,284
Peau de Vindeux	9,284
Bec du Kido	9,289
Faux menton du Bourbassingue	9,289
Tuf de Mofette	9,289
Bec du Kwakwa	9,328
Corail Magistral	9,328
Dent de Shin Larve	9,328
Clef des Pitons Rocheux des Craqueleurs	9,42
Étoffe de Ouassingue	9,436
Aile Atrophiée de Tofu Dodu	9,515
Cœur de pierre poli	9,531
Œil de Krokille	9,57
Boulon de Cybwork	9,571
Cœur de Brandon	9,674
Aile de Puceronde	9,676
Dard de Morfrelon	9,676
Patte de Scoliopode	9,676
Viande Gâtée	9,676
Aile de Draguaindrop	9,777
Croc de Dragoeuf Protecteur	9,777
Coco du Bitouf des Plaines	9,779
Clef du Laboratoire de Brumen Tinctorias	9,883
Métaria Mage bleue	9,958
Métaria Mage rouge	9,958
Métaria Mage verte	9,958
Bois d'Aquajou	10
Carpette des sables	10
Écume de mer	10
Houblon Brillant	10
Menthe Religieuse	10
Patelle	10
Pichon d'encre	10
Quisnoa	10
Relique du Tynril	10
Salikrone	10
Sève de Chêne	10
Tulipe en papier	10
Bâton du Kilibriss	10,032
Artefact Pandawushu Bois	10,059
Nectar de l'Orient	10,061
Peau de Minos	10,315
Clef du Potager d'Halouine	10,348
Clef de l'antre du Blop Multicolore	10,35
Potion de Glandage	10,35
Bandelette du Guerrier Koalak	10,554
Tourbe séchée de Tourbassingue	10,554
Pince de Lucrane	10,613
Venin d'Éperfide	10,613
Crinière de Rat Noir	10,678
Cuir de Bouftonmouth	10,943
Clef de l'Épreuve de Draegnerys	10,961
Griffe de Blérauve	10,967
Molaire de Blérice	10,967
Omoplate de Blérom	10,967
Oreille d'Apériglours	10,967
Oreille de Croleur	10,967
Oreille de Gobosteur	10,967
Queue de Wolvero	10,967
Sardine Sombre	11
Sève de Bombu	11
Rune Pa Ré Pa	11,025
Rune Pa Ré Pme	11,025
Rune Pa Ret Pa	11,025
Rune Pa Ret Pme	11,025
Rune Pata Ré Pa	11,025
Rune Pata Ré Pme	11,025
Rune Pata Ret Pa	11,025
Rune Pata Ret Pme	11,025
Rune Rata Ré Pa	11,025
Rune Rata Ré Pme	11,025
Rune Rata Ret Pa	11,025
Rune Rata Ret Pme	11,025
Rune Ta Ré Pa	11,025
Rune Ta Ré Pme	11,025
Rune Ta Ret Pa	11,025
Rune Ta Ret Pme	11,025
Poil de Rat Brâkmarien	11,049
Boomerang du Koalak Sanguin	11,099
Kobalite	11,1
Racine du Chêne Mou	11,552
Fleur de Blop Coco Royal	11,648
Fleur de Blop Griotte Royal	11,648
Fleur de Blop Indigo Royal	11,648
Fleur de Blop Reinette Royal	11,648
Fémur de Koalak Farouche	11,667
Oreille de Fleuro	11,75
Œil de Sapeur	11,879
Clavicule de Boufmouth	11,901
Ambre d'Abraknyde Sombre Irascible	11,918
Boue Vénérable	11,971
Cendres Vénérables	11,971
Flaque Vénérable	11,971
Fumée Vénérable	11,971
Poudre Vénérable	11,971
Arakne Irascible Écrasée	11,983
Brochet Tupe-Halett	12
Lin Tempête	12
Orchidée de Génie	12
Sève d'Érable	12
Pierre de Serpiplume	12,003
Métaria Mage jaune	12,011
Laine du Royalmouth	12,016
Pixel de Fraktale	12,016
Poil de Skeunk	12,016
Peau d'Ouilleur	12,139
Antenne de Gloursaya	12,2
Armure de Blindur	12,2
Bave de Brokouillon	12,2
Bave de Marthos	12,2
Cuir de Glouragan	12,2
Élastique de barbe de Sanglirok	12,2
Flèche de Crâmbo	12,2
Fronde de Boufronde	12,2
Incisive de Glourmand	12,2
Mèche de Serpyn	12,2
Os de Nemroz	12,2
Poils de Boulglours	12,2
Queue de Chevrotine	12,2
Queue de Meliglours	12,2
Sang de Viandargh	12,2
Planche à Pâtisserie	12,225
Poils de Barbe du Warko Violet	12,259
Péroné du Marôdeur	12,27
Œil de Boufmouth de guerre	12,64
Langue de Kraméléhon	12,684
Viande Noire	12,774
Mandibule d'Abrakne Irascible	12,781
Boomerang du Maître Koalak	12,878
Étoffe du Fauchalak	12,878
Relique du Kimbo	13
Clef du Domaine Ancestral	13,044
Bracelet de Force de Trooll	13,096
Épaulière de Troolligark	13,096
Laine du Trooll Furieux	13,096
Slip de Troollaraj	13,096
Bidoche Frelatée	13,208
Étoffe Zoth	13,235
Queue du Boufmouth légendaire	13,256
Cagoule du Kanniboul Ebil	13,416
Étoffe du Wa Wabbit	13,416
Œil de Branche Invocatrice	13,535
Œil de Branche Soignante	13,535
Clef du Donjon de Nowel	13,541
Pierre du Courtilieur	13,642
Clef du Cimetière des mastodontes	13,87
Corde d'escalade	13,903
Œuf de Gobus	13,931
Kralamoure Unique	14
Sève d'Oliviolet	14
Masque de la Vengeance	14,077
Masque de la Violence	14,077
Masque de la Vivacité	14,077
Masque du Vice	14,077
Masque du Vide	14,077
Cawotte Transgénique	14,327
Huile de Palme	14,373
Rutile	14,4
Bec de Truchon	14,424
Pyrute	14,475
Planche de Gravure	14,625
Koinkoin de bain de Nagate	14,646
Glandes de Truchtine	14,779
Journal Intime d'Émeraude	14,85
Pense-bête de Rubise	14,85
Place de Concert de Diamantine	14,85
Shampooing au Kaliptus de Saphira	14,85
Rotule du Disciple Zoth	14,9
Anguille Souroche	15
Cœur du Capitaine Ekarlatte	15
Cœur du Croqueleur	15
Edelweiss Marguerite	15
Gland de Fouduglen	15
Orbe régénérant mineur	15
Paire de boules de Haute Truche	15
Picot d'El Piko	15
Riz Cola	15
Seigle Résistant	15
Sève d'If	15
Testicules du Tanukouï San	15
Tête de Marteau en Jade	15
Morpion de Truchideur	15,142
Mouchoir de la Gamine Zoth	15,266
Langue de Truchmuche	15,513
Bananagrume	15,621
Tibia du Guerrier Zoth	15,651
Méga Pierre du Craqueleur Légendaire	15,661
Aile de Gruche	15,893
Daurade Royale	16
Sève de Bambou	16
Clef de la Caverne du Koulosse	16,039
Écusson du Sergent Zoth	16,056
Étoffe du Roissingue	16,215
Substrat de Bosquet	16,275
Gland de l'Écumouth	16,477
Braguette du Maître Zoth	16,482
Viande Goûtue	16,825
Aile de Kérigoule	16,875
Aile de Nocturlabe	16,875
Aile de Sinistrofu	16,875
Antenne de Bacterrib	16,875
Aquarakne de Crânonier	16,875
Armure de Tanklume	16,875
Astragale de Mécanofoux	16,875
Baguette Rythmique	16,875
Bandeau de Voapah	16,875
Barbe du Cyclophandre	16,875
Bave de Mol Usk	16,875
Bave de Nessil	16,875
Bec de Mansordide	16,875
Bois de pagaie usée	16,875
Boule en or de Piloztère	16,875
Boulet lesté	16,875
Bout d'Armure de Macrab	16,875
Bractée de Drosérâle	16,875
Canine de Cronnibal	16,875
Canine de Kanimate	16,875
Canine de Krakal	16,875
Canine tranchante	16,875
Capuche d'Armécréante	16,875
Capuche de Skentu	16,875
Carapace de Krabouilleur	16,875
Casque de Statulipe	16,875
Ceinture de la Dame	16,875
Cendres de Chause	16,875
Chair de Zombruth	16,875
Chaudron de Températurge	16,875
Coquille de Virustine	16,875
Corne de Typhomet	16,875
Côtes de Désosseur	16,875
Crâne magique de Magouille	16,875
Cuir de Cuirboule	16,875
Cuir de Grodruche	16,875
Cuir de Peunch	16,875
Cuir d'Empaillé	16,875
Cuir d'Eskoglyphe	16,875
Dent de Bandleth	16,875
Dent de Klémort	16,875
Dent de Lévitrof	16,875
Dent de Tilamproie	16,875
Dent de Vatenbière	16,875
Diadème de Chocoligarque	16,875
Écaille de Gambaf	16,875
Encre de Poulpée	16,875
Épaule de Maléphisto	16,875
Épaulière de Bourôliste	16,875
Épaulière de Ferrailleur	16,875
Épine d'Armuguet	16,875
Épine de Diondin	16,875
Étoffe sanglante	16,875
Flûte de Klûtiste	16,875
Fragment d'armure	16,875
Fragment de Chakanoubis	16,875
Fragment d'Ectorche	16,875
Fronde de Boufbos	16,875
Gilet du Valet	16,875
Grenade de Moribombe	16,875
Grenat de Momistik	16,875
Griffe de Strigide	16,875
Incisive de Stalak	16,875
Incus de Verglasseur	16,875
Jambière de Kasrok	16,875
Langue de Diabélial	16,875
Langue de Kashkaille	16,875
Langue de Krèvladal	16,875
Langue de Pistilangue	16,875
Liane de Soldalia	16,875
Linothorax	16,875
Mâchoire de Brutasmodan	16,875
Manche de Fouet	16,875
Maxillaire de Brikoglours	16,875
Mèche de Pralicienne	16,875
Morceau de clef de Paspartou	16,875
Mousse de Caméliache	16,875
Moustache de Rilur	16,875
Nez de Pipisteuse	16,875
Œil de Cycloïde	16,875
Œil de Dawaj	16,875
Œil de Feutôme	16,875
Œil de Gouligane	16,875
Œil de Halbardent	16,875
Œil de Harrogant	16,875
Œil de Shokkoth	16,875
Œil de Verminocule	16,875
Ongle de Goulafre	16,875
Oreille de Griffotep	16,875
Pagne d'Alashasss	16,875
Patte de Li-Fo	16,875
Patte de Nheur'Gueule	16,875
Patte de Tabacille	16,875
Patte de Termystique	16,875
Paupière Dorée de Rykaon	16,875
Peau de Torréfactueur	16,875
Peau pourrie de Dolid	16,875
Pétale de Gangredogue	16,875
Pic de Pikoleur	16,875
Piège désamorcé de Mâchassin	16,875
Pile Steamer	16,875
Pince de Crabe Yoloniste	16,875
Pince de Crâme	16,875
Pique du Soldat	16,875
Plume de Brabuzar	16,875
Plume de Dodox	16,875
Plume de Granduk	16,875
Plume du Cavalier	16,875
Poils de barbe de Barbélier	16,875
Poils de Goultime	16,875
Poing de Coquelicogne	16,875
Pointe de Lance de Tournoyé	16,875
Poupée de Caïguille	16,875
Protection de Funespadon	16,875
Queue de Mantaze	16,875
Restes d'Esprigné	16,875
Rune Pata Do Pou	16,875
Rune Ra Do Pou	16,875
Rune Ta Do Pou	16,875
Sang coagulé	16,875
Sang de Harpo	16,875
Sang de Karkanik	16,875
Sang de Ventrublion	16,875
Sceau du Roi Joueur	16,875
Sourcil de Barbétoal	16,875
Stapes de Frimar	16,875
Tentacule de Démoloch	16,875
Tentacule de Grofond	16,875
Tentacule de N'Yalg	16,875
Tentacule de Tentaclaque	16,875
Toque de Cabosseur	16,875
Vertèbre de Trépavois	16,875
Volve de Mérulor	16,875
Clef du Chapiteau des Magik Riktus	16,955
Bec du Timansot	16,973
Chaton-Perche	17
Malt Husse	17
Pandouille de Trois	17
Sève de Merisier	17
Ardonite	17,025
Brochette de Laikteur	17,201
Clef de l'Antre de la Reine Nyée	17,275
Plume de Tofu Royal	17,326
Lanterne de Tourthon	17,609
Défense du Sanglacier	17,828
Dent de Smilomouth	17,828
Chouchou de Doublure	17,868
Corne de Kamasterisk	17,868
Mèche de bombe de Terristocrate	17,868
Artefact Pandawushu Roc	17,975
Jus de Cacterre	17,975
Pépite croquée	17,975
Poils magiques de Tanuki	17,975
Artefact Pandawushu Eau	17,983
Eau de Kwapa	17,983
Clef du Bateau du Chouque	18,038
Trident de Tryde	18,08
Aile de Mansobèse	18,215
Weischelcreme Torte	18,253
Langue de Hacharné	18,409
Écharpe de Hanshi	18,611
Piques à cheveux de Shihan	18,611
Pistil du Tynril	18,611
Plume du Mansot Royal	18,611
Cheveux de Draegnerys	18,646
Étoffe de Gourlo le Terrible	18,646
Fiole de fumée de Nelween	18,646
Queue Magique de Founoroshi	18,68
Clef de l'Arbre de Moon	18,748
Clef de la Fabrique de Malléfisk	18,85
Raie de Farle	19
Sève de Noisetier	19
Œil torve de Fricochère	19,079
Huile de Mamansot	19,15
Clef Secrète du Tofulailler Royal	19,23
Écorce de Chiendent	19,365
Planche à Pain	19,5
Arête géante du Shamansot	19,654
Substrat de Fourré	19,725
Écorce de Nerbe	19,827
Tonneau en Bombu	19,95
Chanvre Euphorique	20
Ginsengoku	20
Glotte	20
Rune Do	20
Sève d'Ébène	20
Clef du labyrinthe du Dragon Cochon	20,068
Plaque d'acier	20,084
Aile d'Eninferno	20,25
Corne de Méjaire	20,25
Diadème de Belilith	20,25
Griffe de Buboxor	20,25
Groin de Porkzebuth	20,25
Œil de Harpille	20,25
Scalp de Bwariok	20,25
Serre d'Ikargn	20,25
Spalière de Krâradia	20,25
Écorce de Brouture	20,3
Étoffe de Kaniglou	20,327
Clef du Château du Wa Wabbit	20,688
Oreille du Fu Mansot	20,745
Écorce de Fécorce	20,784
Requin Marché-Libre	21
Sève de Kaliptus	21
Clef de la Tanière du Meulou	21,125
Clef du Théâtre de Dramak	21,127
Tête de mort	21,22
Écorce de Floribonde	21,278
Agathe	21,31
Coco du Bitouf Sombre	21,784
Clef du Repaire du Kharnozor	21,81
Bar Iton	22
Belladonzelle	22
Maïssého	22
Sève de Charme	22
Talon d'achille de l'Abrakleur sombre	22,302
Rune Pa So	22,5
Rune Pata So	22,5
Rune Rata So	22,5
Rune Ta So	22,5
Artefact Pandawushu Feu	22,635
Artefact Pandawushu Vent	22,635
Étoffe de Firefoux	22,635
Pelage aérodynamique	22,635
Pilule du Gang	23,811
Défense du Phossile	23,958
Épine Dorsale de Grozilla	23,958
Fémur de Sphincter Cell	23,958
Mèche Rebelle d'Hell Mina	23,958
Poil de Ben le Ripate	23,958
Morue Barbue	24
Sève de Bambou Sombre	24
Clef du Miausolée du Pounicheur	24,065
Planche à Dessin	24,6
Kamatrix	24,846
Bouée de Fantomalamère	24,876
Coquille de Harpirate	24,876
Corde du Fancrôme	24,876
Huile de Fantimonier	24,876
Galet cramoisi	25
Galet Saisonnier	25
Mandragorgonzola	25
Millet Zime	25
Sève d'Orme	25
Tanche Hantée	25
Clef du Garde-manger du Rat Blanc	25,087
Cœur du Mantiscore	25,219
Clef de la Bibliothèque du Maître Corbac	25,272
Coffre-forge	25,5
Estomac de Gliglidoudur	25,726
Sabot de Gliglicérin	25,971
Sève de Bambou Sacré	26
Bourgeon d'Abraknyde Ancestral	26,156
Clef du Goulet du Rasboul	26,257
Bidoche Intangible	26,316
Biscuit de chance	26,439
Corne de Gliglibido	26,476
Étoile des Neiges	27
Frostiz soufflé	27
Lanière en cuir de Gliglitch	27
Poisskaille Givré	27
Sève de Tremble	27
Clef de l'antre du Dragon Cochon	27,403
Substrat de Forêt	27,525
Planche de Salut	27,6
Sablier miniature	27,686
Clef du Labyrinthe du Minotoror	27,766
Clef de l'Antre de Crocabulia	28,313
Pétale de Malter	28,465
Clef du Repaire de Sphincter Cell	28,771
Extrémité du Grattoir	28,794
Œil de Vigie Pirate	28,879
Bidoche Exsudative	29,006
Poignée du Gorgouille	29,134
Étoffe de Meupette	29,559
Clef de la Bambusaie de Damadrya	29,603
Ethmoïde du Minotot	29,659
Moustache de Ush	29,659
Moustache du Shogun Tofugawa	29,659
Poils de Kanigroula	29,659
Scorie d'Obsidiantre	29,659
Sphénoïde du Kimbo	29,659
Teinture Orange Sanguine	29,66
Apostrophe de Fugokam	30
Apostrophe d'Imafugo	30
Carapace circonflexe de Rokoram	30
Carapace circonflexe d'Imorok	30
Cédille de Tsunam	30
Cédille d'Imetsu	30
Culotte de Frakacia	30
Guillemets de Mabram	30
Guillemets d'Imiyama	30
Poing-virgule de Shinlam	30,267
Bidoche Tendre	30,296
Clef de la Sousouricière du Rat Noir	30,394
Éclat Obscur	30,5
Topaze	30,768
Tresse du Poolay	30,914
Clef du Repaire de Skeunk	30,945
Pâte à Tra Khben	31,095
Cervelle de Bouftou des Cavernes	31,342
Jus d'Écumouth pressé	31,535
Ulna de Solfataré	31,593
Potion d'altération	32,1
Philtre de Longévité	32,16
Substrat de Forêt primaire	32,4
Coco du Bitouf aérien	32,423
Boule de Panthègros	32,548
Canine de Félygiène	32,548
Étoffe Magique de Moon	32,731
Pierre du Koulosse	32,731
Testicules Magiques du Meulou	32,731
Clef de la serre du Royalmouth	32,863
Dent de Fantômat	33,059
Clef du Temple Maudit	33,265
Boucle d'Orfélin	33,322
Étoffe de Kaniblou	33,322
Bwak Squelettique	33,385
Étoffe de Choudini	33,385
Globule de Nyée	33,385
Implants Rustiques	33,637
Poing-virgule d'Imushin	33,817
Coquille du Kaskargo	34,011
Frimousse d'Alhyène	34,115
Peau de Kanihilan	34,115
Artefact de Fumrirolle	34,848
Téphra d'Atomystique	34,848
Nœud de l'Abrakleur clair	34,882
Concassé de brume	35,591
Étoffe de Samouraï fantôme	35,852
Clef du Mégalithe de Fraktale	36,136
Œuf de Crapeur	36,392
Potion minérale	36,394
Coquille de Krokille	36,648
Farine de contrebande	36,75
Fausse dent de Grozilla	36,765
Clakoss	36,856
Braises bleutées	38,684
Corne de XLII	38,684
Laine de Tengu Givrefoux	38,684
Œil du Père Ver	38,684
Cornée de Kami Givrefoux	40,278
Crâne de Yokaï Givrefoux	40,278
Cuir de Maho Givrefoux	40,278
Patte de Soryo Givrefoux	40,278
Queue de Yomi Givrefoux	40,278
Clef de la Volière de la Haute Truche	40,938
Clef du caveau du Prince Djamal	41,41
Substrat de Forêt vierge	42
Clef de l'Atelier du Tanukouï San	42,614
Grizite	42,964
Chicots d'Halouine	43,46
Œil du Kharnozor	43,46
Poche de charbon de Grasmera	43,46
Slip troué de Dramak	43,46
Poil de Dragon Cochon	43,75
Bidoche Ladre	44,76
Orbe régénérant	45
Rune Invo	45
Substrat de Sylve	45
Yokayu	45,37
Ventouse du Kralamoure géant	46,023
Clef de la Caverne d'El Piko	47,114
Clef de la Croquanterie	47,114
Clef de la Vallée de la Dame des eaux	47,114
Clef du Ring du Capitaine Ekarlatte	47,198
Carapace de Ver des Sables	47,559
Épine d'Ougah	48,382
Ongle du Bworker	48,382
Patte de Korriandre	48,382
Sang du Toxoliath	48,382
Corne brisée de Crocabulia	48,884
Fleur de Blop Multicolore Royal	48,884
Plume Vibrante du Tofu Royal	48,884
Clef Mansot	49,065
Œil de Dramanite	51,761
Oreille de Fistulor	51,761
Pédoncule de Fongeur	51,761
Pédoncule de Mérulette	51,761
Racine d'Abrazif	51,761
Salace de poissons empoisonnée	52,168
Kristalite	52,171
String en Cuir de la Mama Bwork	54,183
Clef de la Clairière du Chêne Mou	54,366
Caleçon Blanc	54,798
Caleçon Bleu	54,798
Caleçon Brun	54,798
Caleçon Rouge	54,798
Queue emplumée du Rasboul Majeur	55,851
Fibre de Chanvre	56,207
Caleçon de Cybwork	57,29
